Doctor ID,Doctor Name,Education,Speciality,Experience,Adress,Location,,,,,,,,,,,,,,,,,,,,,
25,Prof. Dr. Manzoor Hossain,"['MBBS', 'DCH', 'MRCP', 'FCPS', 'FRCP', 'FRCP']",PEDIATRIC CARDIOLOGIST,40,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
26,Prof. Dr. Md. Lutful Kabir,"['MBBS', 'MRCP', 'FRCP']",MEDICINE SPECIALIST,26,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
27,Asst. Prof. Dr. Md. Elias Bhuiyan,"['MBBS', 'FCPS']",MEDICINE SPECIALIST,10,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
28,Asst. Prof. Dr. Nusrat Zarin,"['MBBS', 'MD']",ENDOCRINOLOGIST,8,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
29,Asst. Prof. Dr. Lima Asrin Sayami,"['MBBS', 'FCPS', 'MRCP']",CARDIOLOGIST,15,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
30,Assoc. Prof. Dr. Md. Salahuddin Farugue,"['MBBS', 'FCPS', 'MS']",UROLOGIST,16,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
31,Asst. Prof. Dr. Adnan Yousuf Chowdhury,"['MBBS', 'MCPS', 'MD']",RESPIRATORY SPECIALIST,19,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
32,Dr. Subrata Poddar Choyon,"['MBBS', 'BCS', 'FCPS', 'MD', 'MACP']",GASTROENTEROLOGIST,13,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
33,Prof. Dr. Iffat Ara,"['MBBS', 'FCPS', 'M.MED']",GYNECOLOGIST & OBSTETRICIAN,25,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
34,Asst. Prof. Dr. Md. Merazul Islam Sheikh Meraz,"['MBBS', 'BCS']",NEUROLOGIST,15,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
35,Prof. Dr. Syed Shamsuddin Ahmed,"['MBBS', 'DTM', 'PHD', ' JAPAN)']",PLASTIC SURGEON,35,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
36,Prof. Dr. Mushfiqur Rahman,"['MBBS', 'FCPS', 'FICS']",OTOLARYNGOLOGISTS (ENT),20,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
37,Prof. Dr. Rowshan Ara Begum,"['MBBS', 'MPH', 'M.PHIL', 'FCPS']",ONCOLOGIST,16,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
38,Asst. Prof. Dr. Shareen Khan,"['MBBS', 'FCPS']",PEDIATRICIAN,10,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
39,Dr. Sanjoy Sinha,"['MBBS', 'BCS', 'MS', 'AO-BASIC']",ORTHOPEDIC SURGEON,10,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
40,Dr. Nahid Parveen,"['MBBS', 'MS']",GYNECOLOGIST & OBSTETRICIAN,5,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
41,Prof. Dr. Riaz Uddin Ahmad,"['MBBS', 'DDV', 'MCPS', 'FCPS']",DERMATOLOGIST,35,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
42,Dr. Tamjeed Alam,"['MBBS', 'FCPS']",GENERAL SURGEON,17,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
43,Dr. M. K Azad,"['MBBS', 'DEM', 'FCPS', 'MACE']",MEDICINE SPECIALIST,17,Islami Bank Central Hospital | Mirpur,Dhaka,,,,,,,,,,,,,,,,,,,,,
43,Dr. M. K Azad,"['MBBS', 'DEM', 'FCPS', 'MACE']",ENDOCRINOLOGIST,17,Islami Bank Central Hospital | Mirpur,Dhaka,,,,,,,,,,,,,,,,,,,,,
44,Prof. Dr. Md. Shamsul Alam,"['MBBS', 'MCPS', 'MS', 'ADVANCED VATS TRAINING (INDIA)']",GENERAL SURGEON,40,Farazy Hospital | Banasree,Dhaka,,,,,,,,,,,,,,,,,,,,,
44,Prof. Dr. Md. Shamsul Alam,"['MBBS', 'MCPS', 'MS', 'ADVANCED VATS TRAINING (INDIA)']",THORACIC SURGEON,40,Farazy Hospital | Banasree,Dhaka,,,,,,,,,,,,,,,,,,,,,
45,Asst. Prof. Dr. Md. Asif Ekram,"['MBBS', 'M.PHIL']",ONCOLOGIST,19,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
46,Prof. Dr. A. H. M. Shamsul Alam,"['MBBS', 'FCPS']",GENERAL SURGEON,30,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
47,Prof. Dr. Md. Khayrul Kabir,"['MBBS', 'MD']",NEUROMEDICINE SPECIALIST,20,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
48,Prof. Dr. Nasima Arjumand Banu,"['MBBS', 'FCPS']",GYNECOLOGIST & OBSTETRICIAN,22,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
49,Prof. Dr. Mahmood Hasan,"['MBBS', 'FCPS']",PSYCHIATRIST,26,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
50,Asst. Prof. Dr. Shah Md. Zakir Hossain,"['MBBS', 'CCD', 'MD']",NEPHROLOGIST,24,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
51,Dr. Ashraful Haque Chowdhury,"['MBBS', 'FCPS']",HEMATOLOGIST,16,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
52,Dr. Rabeya Afroz Shoma,"['MBBS', 'DDV']",DERMATOLOGIST,15,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
53,Dr. Md. Iqbal Hossain,"['MBBS', 'MD', 'MCPS', 'FRCP', 'FCPS']",GASTROENTEROLOGIST,11,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
53,Dr. Md. Iqbal Hossain,"['MBBS', 'MD', 'MCPS', 'FRCP', 'FCPS']",MEDICINE SPECIALIST,11,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
54,Dr. Ishrat Laila,"['MBBS', 'MRCP']",INTERNAL MEDICINE SPECIALIST,6,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
54,Dr. Ishrat Laila,"['MBBS', 'MRCP']",RESPIRATORY SPECIALIST,6,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
55,Asst. Prof. Dr. Serajus Salekin,"['MBBS', 'BCS', 'MS']",THORACIC SURGEON,15,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
56,Asst. Prof. Dr. Mohammad Mizanur Rahman,"['MBBS', 'MD', 'FACC (USA)']",CARDIOLOGIST,25,Asgar Ali Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
57,Asst. Prof. Dr. M. Akhter Hossain,"['MBBS', 'MS']",CARDIAC SURGEON,25,Asgar Ali Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
58,Dr. Mohammad Johirul Islam,"['MBBS', 'DA (DMC)', 'FCPS']",ANESTHESIOLOGIST,18,Asgar Ali Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
59,Dr. Md. Didarul Alam,"['MBBS', 'MCPS']",ANESTHESIOLOGIST,37,Asgar Ali Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
60,Asst. Prof. Dr. Parven Akter Parul,"['MBBS', 'BCS', 'FCPS']",GYNECOLOGIST & OBSTETRICIAN,20,Asgar Ali Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
61,Prof. Dr. Kazi Morjina Begum,"['MBBS', 'DGO', 'FCPS']",GYNECOLOGIST & OBSTETRICIAN,28,Asgar Ali Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
62,Prof. Dr. Rafat Nawaz,"['MBBS', 'FRCOG (LONDON)']",GYNECOLOGIST & OBSTETRICIAN,25,Asgar Ali Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
63,Dr. Shamsun Nahar Shapna,"['MBBS', 'BCS', 'MCPS', 'FCPS']",GYNECOLOGIST & OBSTETRICIAN,15,Asgar Ali Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
64,Prof. Dr. Sakti Das,"['MBBS', 'DGO', 'FCPS', 'MS']",GYNECOLOGISTS,25,Asgar Ali Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
65,Prof. Dr. Arzu Manth Ara Begum,"['MBBS', 'DGO', 'FCPS']",GYNECOLOGIST & OBSTETRICIAN,25,Asgar Ali Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
66,Prof. Dr. Khodeza Tul Kobra,"['MBBS', 'MCPS', 'DGO', 'FCPS']",GYNECOLOGIST & OBSTETRICIAN,25,Asgar Ali Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
67,Dr. Hasina Akter,"['MBBS', 'DGO', 'MRCOG']",GYNECOLOGIST & OBSTETRICIAN,19,Asgar Ali Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
67,Dr. Hasina Akter,"['MBBS', 'DGO', 'MRCOG']",INFERTILITY SPECIALIST,19,Asgar Ali Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
68,Dr. Natasha Tiluttoma Aleem,"['MBBS', 'FCPS']",GYNECOLOGIST & OBSTETRICIAN,20,Asgar Ali Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
69,Dr. Ferdousi Chowdhury,"['MBBS', 'DGO', 'FCPS']",GYNECOLOGIST & OBSTETRICIAN,25,Asgar Ali Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
70,Prof. Dr. Atika Begum,"['MBBS', 'FCPS']",GYNECOLOGIC ONCOLOGIST,26,Asgar Ali Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
71,Dr. Mofazzal Sharif,"['MBBS', 'MCPS', 'MD', 'MPH']",RADIOLOGIST,12,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
72,Dr. Md. Shafiul Azam,"['MBBS', 'BCS', 'CCD', 'MACP', 'MD']",HEMATOLOGIST,16,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
73,Asst. Prof. Dr. Surozit Sarkar Titas,"['MBBS', 'MD']",HEMATOLOGIST,19,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
74,Dr. Mukul Rayhan,"['MBBS', 'BCS', 'MD']",ENDOCRINOLOGIST,19,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
75,Dr. Md. Abu Shehab,"['MBBS', 'MD']",ENDOCRINOLOGIST,18,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
76,Asst. Prof. Dr. Md. Jahangir Alam,"['MBBS', 'BCS', 'MD']",ENDOCRINOLOGIST,24,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
77,Assoc. Prof. Dr. Samir Kumar Talukder,"['MBBS', 'MD', 'FACE (AMERICA)']",ENDOCRINOLOGIST,24,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
78,Dr. Md. Shariful Alam,"['MBBS', 'BCS', 'FCPS']",PHYSICAL MEDICINE,16,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
79,Assoc. Prof. Dr. S. M. Atiqul Islam,"['MBBS', 'BCS', 'MD']",PHYSICAL MEDICINE,25,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
80,Dr. Shakera Sultana,"['MBBS', 'M.PHIL', 'PGT']",ONCOLOGIST,24,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
81,Assoc. Prof. Dr. Md. Mobasser ur Rahman,"['MBBS', 'BCS', 'M.PHIL']",ONCOLOGIST,28,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
82,Prof. Dr. A.K.M. Ahsan Habib,"['MBBS', 'DM']",ONCOLOGIST,31,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
83,Asst. Prof. Dr. Md. Maruful Haque,"['MBBS', 'BCS', 'MCPS', 'MD']",PSYCHIATRIST,23,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
84,Assoc. Prof. Dr. Md. Anwar Parvez Bhuiyan,"['MBBS', 'FCPS', 'MPH']",PSYCHIATRIST,24,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
85,Dr. Lt. Col. Sohel Hasan Chowdhury,"['MBBS', 'FCPS']",PSYCHIATRIST,17,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
