Doctor ID,Doctor Name,Education,Speciality,Experience,Adress,Location,,,,,,,,,,,,,,,,,,,,,
1646,Asst. Prof. Dr. Taskina Mosleh,"['MBBS', 'FCPS']",PEDIATRICIAN,23,Kingston Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1647,Prof. Dr. Maj Gen Syed Asif Iqbal,"['MBBS', 'FCPS', 'D-CARD', 'FACC (USA)', 'FRCP', 'MACP']",CARDIOLOGIST,28,Kingston Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1648,Dr. Md. Noor-E-Khuda,"['MBBS', 'BCS', 'CCD', 'MD']",CARDIOLOGIST,17,Kingston Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1649,Assoc. Prof. Dr. Md. Maruful Islam,"['MBBS', 'BCS', 'MS', 'FACS (USA)', 'FRCS']",PLASTIC SURGEON,25,Kingston Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1650,Prof. Dr. Md Zahid Alam,"['MBBS', 'FCPS']",CARDIOLOGIST,29,Cure Specialized Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1651,Asst. Prof. Dr. Md. Kamruzzaman,"['MBBS', 'DCH', 'DTCD', 'MPH']",PEDIATRICIAN,22,Cure Specialized Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1652,Assoc. Prof. Dr. Md. Abdullah Al Mamun,"['MBBS', 'MD']",PEDIATRICIAN & NEONATOLOGIST,20,Cure Specialized Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1653,Prof. Dr. Md. Abdul Aziz,"['MBBS', 'MS']",PEDIATRIC SURGEON,31,Cure Specialized Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1654,Dr. Md. Monowarul Islam,"['MBBS', 'FCPS', 'MS']",UROLOGIST,26,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1655,Dr. SMA Rahman,"['MBBS', 'PHD', 'ACT (JAPAN)']",UROLOGIST,22,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1656,Dr. Kazi Mahjabin Akhter,"['MBBS', 'MCPS']",GYNECOLOGIST & OBSTETRICIAN,20,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1657,Dr. Afroz Monowara,"['MBBS', 'MCPS', 'DGO']",GYNECOLOGIST & OBSTETRICIAN,19,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1658,Asst. Prof. Dr. Sabina Hossen,"['MBBS', 'MS']",GYNECOLOGIST & OBSTETRICIAN,22,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1659,Dr. Tarun Biswas,"['BDS', 'PGT', 'BSMMU']",MAXILLOFACIAL AND DENTAL SURGEON,13,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1660,Dr. Col. Md. Abdur Rab,"['BDS', 'FCPS', 'PGC (RAWAL PINDI', ' PAKISTAN)']",MAXILLOFACIAL AND DENTAL SURGEON,18,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1661,Prof. Dr. AKM Amirul Morshed Khasru,"['MBBS', 'DCM', 'DCH', 'MCPS', 'MD', 'MD']",PEDIATRICIAN,30,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1662,Dr. Wadud Ali Khan,"['MBBS', 'MD']",MEDICINE SPECIALIST,17,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1662,Dr. Wadud Ali Khan,"['MBBS', 'MD']",GASTROENTEROLOGIST,17,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1663,Dr. K M Rokon-Ud-Dowla,"['MBBS', 'DIPLOMA IN MEDICAL ULTRASOUND']",RADIOLOGIST,18,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1664,Dr. Ronoda Proshad Roy,"['MBBS', 'MPH', 'CCD']",ONCOLOGIST,22,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1665,Dr. M Jahid Hossen,"['MBBS', 'DM', 'DCM']",ONCOLOGIST,17,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1666,Asst. Prof. Dr. Shahnoor Islam,"['MBBS', 'MS']",PEDIATRIC SURGEON,22,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1667,Dr. Farid Uddin,"['BPT (DU)', 'RPT', 'CRP']",PHYSIOTHERAPIST,18,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1668,Asst. Prof. Dr. Sayed Ahasan Ali,"['MBBS', 'FCPS']",SURGEON,22,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1669,Prof. Dr. ABM Zamal,"['MBBS', 'FCPS', 'FRCS', ' UK)']",GENERAL SURGEON,25,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1669,Prof. Dr. ABM Zamal,"['MBBS', 'FCPS', 'FRCS', ' UK)']",LAPAROSCOPIC SURGEON,25,Dr. Azmal Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1670,Asst. Prof. Dr. Fatima Zohra,"['MBBS', 'MD']",PSYCHIATRIST,25,Al Helal Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1671,Asst. Prof. Dr. Md. Shafiqur Rahman Patwary,"['MBBS', 'FCPS', 'MCPS', 'MD']",CARDIOLOGIST,22,Al Helal Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1672,Assoc. Prof. Dr. Heemel Saha,"['MBBS', 'MS', 'MRCP', 'FACS (USA)']",CARDIOTHORACIC AND VASCULAR SURGEON,19,Al Helal Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1672,Assoc. Prof. Dr. Heemel Saha,"['MBBS', 'MS', 'MRCP', 'FACS (USA)']",THORACIC SURGEON,19,Al Helal Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1673,Dr. Md. Alauddin,"['MBBS', 'MS']",CARDIAC SURGEON,19,Al Helal Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1674,Asst. Prof. Dr. Mohammad Tarikuzzaman Mia,"['MBBS', 'BCS', 'DDV']",DERMATOLOGIST,22,Al Helal Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1675,Dr. Jahanara,"['MBBS', 'DGO', 'FCPS']",GYNECOLOGIST & OBSTETRICIAN,23,Al Helal Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1676,Dr. Md. Rahmat Ullah Siddiqui,"['MBBS', 'MCPS', 'DDV', 'FCPS']",DERMATOLOGIST,23,Al Helal Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1677,Dr. Rahima Sultana Ratna,"['MBBS', 'DGO', 'FCPS']",GYNECOLOGIST & OBSTETRICIAN,25,Al Helal Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1678,Dr. S. M. Nazmul Hasan Sagar,"['MBBS', 'MCPS']",ONCOLOGIST,19,Banani Clinic Ltd. & Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1679,Dr. Md. Ehsanur Rabbi,"['MBBS', 'PHD']",ORTHOPEDIC SURGEON,17,Banani Clinic Ltd. & Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1680,Asst. Prof. Dr. Md. Mashiur Arefin,"['MBBS', 'MS', 'FCPS', ' UK)']",UROLOGIST,22,Banani Clinic Ltd. & Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1681,Asst. Prof. Dr. Md. Mehedi Hasan,"['MBBS', 'FCPS', 'MRCS (EDINBURGH)']",UROLOGIST,20,Banani Clinic Ltd. & Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1682,Dr. Timir Debnath,"['MBBS', 'MCPS', 'FCPS']",OTOLARYNGOLOGISTS (ENT),17,Banani Clinic Ltd. & Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1683,Prof. Dr. Shamim Anwarul Haque,"['MBBS', 'FCPS']",OTOLARYNGOLOGISTS (ENT),27,Banani Clinic Ltd. & Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1684,Dr. Farzana Banu,"['MBBS', 'DGO', 'MCPS', 'MS']",GYNECOLOGIST & OBSTETRICIAN,15,Banani Clinic Ltd. & Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1685,Asst. Prof. Dr. Humaira Alam,"['MBBS', 'FCPS']",GYNECOLOGIST & OBSTETRICIAN,22,Popular Diagnostic Centre Ltd. | Badda,Dhaka,,,,,,,,,,,,,,,,,,,,,
1685,Asst. Prof. Dr. Humaira Alam,"['MBBS', 'FCPS']",INFERTILITY SPECIALIST,22,Popular Diagnostic Centre Ltd. | Badda,Dhaka,,,,,,,,,,,,,,,,,,,,,
1685,Asst. Prof. Dr. Humaira Alam,"['MBBS', 'FCPS']",LAPAROSCOPIC SURGEON,22,Popular Diagnostic Centre Ltd. | Badda,Dhaka,,,,,,,,,,,,,,,,,,,,,
1686,Asst. Prof. Dr. Shaila Rahman,"['MBBS', 'FCPS', 'MRCP']",MEDICINE SPECIALIST,18,Popular Diagnostic Centre Ltd. | Badda,Dhaka,,,,,,,,,,,,,,,,,,,,,
1687,Assoc. Prof. Dr. Lt. Col. Azizun Nessa,"['MBBS', 'FCPS', 'FCPS']",MEDICINE SPECIALIST,24,Banani Clinic Ltd. & Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1687,Assoc. Prof. Dr. Lt. Col. Azizun Nessa,"['MBBS', 'FCPS', 'FCPS']",NEPHROLOGIST,24,Banani Clinic Ltd. & Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1688,Dr. Afreen Nur Chowdhury,"['MBBS', 'DIP IN ASTHMA (UK)', 'MS', ' UK)']",MEDICINE SPECIALIST,15,Banani Clinic Ltd. & Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1688,Dr. Afreen Nur Chowdhury,"['MBBS', 'DIP IN ASTHMA (UK)', 'MS', ' UK)']",GASTROENTEROLOGIST,15,Banani Clinic Ltd. & Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1689,Dr. Maj. Md. Aminul Haque,"['MBBS', 'MD']",CARDIOLOGIST,20,Banani Clinic Ltd. & Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1690,Assoc. Prof. Dr. Lt. Col. Dr. Md. Wali-Ur-Rahman,"['MBBS', 'FCPS', 'FCPS']",CARDIOLOGIST,25,Banani Clinic Ltd. & Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
1691,Dr. Yasmin Jahan,"['MBBS', 'DO']",OPHTHALMOLOGIST,26,Prime Bank Eye Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1692,Dr. San Yaat Rabbi,"['MBBS', 'DO', 'MCPS', 'MPH']",OPHTHALMOLOGIST,25,Prime Bank Eye Hospital Ltd.,Dhaka,,,,,,,,,,,,,,,,,,,,,
1693,Dr. Monowarul Islam,"['MBBS', 'FCPS', 'MS']",UROLOGIST,16,Prime General Hospital & Digital Diagnostic Center,Dhaka,,,,,,,,,,,,,,,,,,,,,
1694,Asst. Prof. Dr. S M Parvez Ahmed Sohel,"['MBBS', 'MS', 'MS']",VASCULAR SURGEON,19,Prime General Hospital & Digital Diagnostic Center,Dhaka,,,,,,,,,,,,,,,,,,,,,
1695,Prof. Dr. Subrata Kumar Sarker,"['MBBS', 'BCS', 'MCPS', 'MD']",ANESTHESIOLOGIST,22,Prime General Hospital & Digital Diagnostic Center,Dhaka,,,,,,,,,,,,,,,,,,,,,
1696,Dr. M K Das Emon,"['MBBS', 'BCS', 'FCPS', 'FCPS']",CARDIOLOGIST,19,Prime General Hospital & Digital Diagnostic Center,Dhaka,,,,,,,,,,,,,,,,,,,,,
1697,Dr. Ashfaq Nobi,"['MBBS', 'BCS', 'MS']",PEDIATRIC SURGEON,23,Prime General Hospital & Digital Diagnostic Center,Dhaka,,,,,,,,,,,,,,,,,,,,,
1698,Assoc. Prof. Dr. A B M Ruhul Amin,"['MBBS', 'D-ORTHO']",ORTHOPEDIC SURGEON,25,Prime General Hospital & Digital Diagnostic Center,Dhaka,,,,,,,,,,,,,,,,,,,,,
1699,Assoc. Prof. Dr. Khandker Parvez Ahmad,"['MBBS', 'MS', ' LONDON)', 'PHD', ' ITALY)']",NEUROMEDICINE SPECIALIST,24,Prime General Hospital & Digital Diagnostic Center,Dhaka,,,,,,,,,,,,,,,,,,,,,
1700,Asst. Prof. Dr. Aminul Islam,"['MBBS', 'MD']",CARDIOLOGIST,22,Prime General Hospital & Digital Diagnostic Center,Dhaka,,,,,,,,,,,,,,,,,,,,,
1701,Dr. Farzana Kabir,"['MBBS', 'FCPS', 'MCPS']",PEDIATRICIAN,18,Lab Science Diagnostics,Dhaka,,,,,,,,,,,,,,,,,,,,,
1702,Prof. Dr. Md. Shafiqul Islam,"['MBBS', 'FCPS']",OPHTHALMOLOGIST,27,Lab Science Diagnostics,Dhaka,,,,,,,,,,,,,,,,,,,,,
1703,Prof. Dr. Fawzia Hossain,"['MBBS', 'MRCOG (UK)', 'MS', 'FIAOG (INDIA)', 'AND DFFP (GLASGOW)']",INFERTILITY SPECIALIST,25,Central Hospital Limited,Dhaka,,,,,,,,,,,,,,,,,,,,,
1704,Dr. Nayana Nazir,"['MBBS', 'FCPS', 'MD']",INTERNAL MEDICINE,10,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1704,Dr. Nayana Nazir,"['MBBS', 'FCPS', 'MD']",NEPHROLOGIST,10,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1705,Dr. Md. Zaved Mehedi Hossain,"['MBBS', 'FCPS']",INTERNAL MEDICINE,15,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1706,Dr. Parijat Biswas,"['MBBS', 'FCPS', 'MCPS', 'MACP']",INTERNAL MEDICINE,12,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1707,Dr. Mohammad Kamal Uddin,['MS'],INTERNAL MEDICINE,23,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1708,Dr. Muhammad Mustafizur Rahman,"['MBBS', 'DIPLOMA IN CARDIOLOGY & MRCP (UK)']",INTERNAL MEDICINE,27,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1708,Dr. Muhammad Mustafizur Rahman,"['MBBS', 'DIPLOMA IN CARDIOLOGY & MRCP (UK)']",CARDIOLOGIST,27,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1709,Dr. Md. Mostafa,['MBBS'],PSYCHIATRIST,44,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1710,Dr. Showkat Azad,"['MBBS', 'MD', 'MACP', 'FASN']",NEPHROLOGIST,12,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1711,Dr. Somen Chowdhury,"['MBBS', 'MACP']",NEUROMEDICINE SPECIALIST,20,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1712,Prof. Dr. Sujat Paul,['MBBS'],INTERNAL MEDICINE,32,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1712,Prof. Dr. Sujat Paul,['MBBS'],RHEUMATOLOGIST,32,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1713,Dr. Moinuddin M Illius,"['MBBS', 'MS']",NEUROSURGEON,24,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1714,Dr. M Kamal Uddin,"['MBBS', 'MS']",NEUROSURGEON,15,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1715,Prof. Dr. Anupam Barua,"['MBBS', 'MD']",INTERNAL MEDICINE,30,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1715,Prof. Dr. Anupam Barua,"['MBBS', 'MD']",HEMATOLOGIST,30,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1716,Mahfuza Afroz Shathi,"['BSC (FOOD & NUTRITION)', 'MS', 'CCD', 'PHD']",NUTRITIONIST,11,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1717,Dr. Abu Khaled Muhammad Iqbal,"['MBBS', 'BCS', 'MS']",ONCOLOGIST,11,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1718,Dr. Mohammad Mujibul Haque,"['MBBS', 'MRCP', 'SSC-MED (INTERNAL MEDICINE)']",INTERNAL MEDICINE,41,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1719,Dr. Bhaskar Chakraborty,"['MBBS', 'FCPS']",ONCOLOGIST,10,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1720,Dr. Shirajum Munira,"['MBBS', 'FCPS']",HEMATOLOGIST,19,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1721,Dr. Ali Asgar Chowdhury,"['MBBS', 'FCPS']",ONCOLOGIST,18,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1722,Prof. Dr. Shahanara Chowdhury,"['MBBS', 'FCPS', 'DM']",GYNECOLOGIST & OBSTETRICIAN,22,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1723,Dr. Md. Rahim Ullah Chowdhury,"['BDS', 'DDS', 'MCPS', 'MS']",MAXILLOFACIAL AND DENTAL SURGEON,20,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1724,Dr. Abu Mohammad Sayem,"['MBBS', 'D-ORTHO', 'A.O BASIC']",ORTHOPEDIC SURGEON,20,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1725,Dr. Sohail Hossain,"['MBBS', 'MD', 'MS']",ORTHOPEDIC SURGEON,23,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1726,Dr. Ferdousi Begum Neli,"['MBBS', 'DGO', 'FCPS']",GYNECOLOGIST & OBSTETRICIAN,26,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1727,Dr. Reshma Sharmin,"['MBBS', 'FCPS', 'MRCOG (UK)', 'FMAS & IVF', 'AND ADVANCE IVF COURSE']",GYNECOLOGIST & OBSTETRICIAN,15,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1728,Dr. Md. Myen Uddin Mozumder,"['MBBS', 'MS', 'BCS', 'FACS']",ORTHOPEDIC SURGEON,20,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1729,Prof. Dr. Chandan Kumar Das,"['MBBS', 'MS', 'FACS']",ORTHOPEDIC SURGEON,27,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1730,Dr. Rahat Anjum,"['MBBS', 'MCPS', 'MPH']",PATHOLOGIST,18,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1731,Dr. Nasrin Chowdhury,"['MBBS', 'MD', 'FCPS']",PATHOLOGIST,20,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1732,Dr. Mohammad Arman Zaid,"['MBBS', 'DCH', 'MRCP']",PEDIATRICIAN & NEONATOLOGIST,24,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1733,Dr. ATM Mahmudur Rahman JA Siddique,"['MBBS', 'DIPLOMA IN CHILD HEALTH']",PEDIATRICIAN & NEONATOLOGIST,22,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1734,Dr. Md. Anwar Hossain,"['MBBS', 'DIPLOMA IN CHILD HEALTH']",PEDIATRICIAN & NEONATOLOGIST,24,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1735,Dr. Hasan Zahid,"['MBBS', 'DIPLOMA IN CHILD HEALTH']",PEDIATRICIAN,32,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1736,Dr. Faisal Ahmed,"['MBBS', 'MD', 'MRCP', 'RCPCH']",PEDIATRICIAN,28,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1737,Prof. Dr. Rasheda Samad,"['MBBS', 'FCPS']",PEDIATRICIAN,26,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1738,Prof. Dr. Dr. SK Azimul Hoq,"['MBBS', 'MD']",PEDIATRIC NEUROLOGIST,28,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1739,Dr. Adnan Walid,"['MBBS', 'MS']",PEDIATRIC SURGEON,19,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1740,Dr. Jahangir Alam Chowdhury,"['MBBS', 'FCPS']",PHYSICAL MEDICINE,21,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1741,Dr. Mobinul A Chowdhury,"['MBBS', 'MPH']",RADIOLOGIST,20,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1742,Dr. Mahin Binte Anowar,"['MBBS', 'MD']",RADIOLOGIST,15,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1743,Dr. Saroj Kanti Chowdhury,"['MBBS', 'FCPS', 'MCPS', 'MD']",RESPIRATORY SPECIALIST,16,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1744,Dr. Md. Didarul Alam,"['MBBS', 'FCPS', 'MD']",RESPIRATORY SPECIALIST,17,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1745,Dr. Mohammad Zakir Hossain Bhuiyan,"['MBBS', 'BCS', 'MCPS', 'MS', 'FMAS (INDIA)']",THORACIC SURGEON,19,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1746,Prof. Dr. Mohammed Hasan Meah,"['MBBS', 'MS']",UROLOGIST,35,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1747,Dr. Dil Anziz Begum,"['MBBS', 'MS', 'MCPS', ' GYNECOLOGY)']",GYNECOLOGIST & OBSTETRICIAN,22,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1748,Assoc. Prof. Dr. Shahanaj Sharmin,"['MBBS', 'MCPS', 'FCPS', 'MS']",GYNECOLOGIST & OBSTETRICIAN,16,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1749,Prof. Dr. Md. Monowar-Ul-Haque Shamim,"['MBBS', 'MS', 'FACS (USA)']",UROLOGIST,29,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1750,Dr. Shirin Fatema,"['MBBS', 'FCPS', 'MCPS', 'DGO']",GYNECOLOGIST & OBSTETRICIAN,26,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1751,Dr. Md. Mazharul Hoq,"['MBBS', 'FCPS', 'MS']",SURGEON,26,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1751,Dr. Md. Mazharul Hoq,"['MBBS', 'FCPS', 'MS']",UROLOGIST,26,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1752,Dr. Md. Nurul Amin Bhuiyan,"['MBBS', 'FCPS', 'FACS(USA)', 'FMAS (INDIA)']",GENERAL SURGEON,11,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1753,Asst. Prof. Dr. Md. Saiful Islam Raju,"['MBBS', 'MS']",HEPATOBILIARY SURGEON,11,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1754,Dr. Jasmin Begum,"['MBBS', 'FCPS']",GENERAL SURGEON,10,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1755,Dr. Lt. Col. Sohel Ahmed,"['MBBS', 'FCPS', 'FACS (USA)']",GENERAL SURGEON,12,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1755,Dr. Lt. Col. Sohel Ahmed,"['MBBS', 'FCPS', 'FACS (USA)']",COLORECTAL & LAPAROSCOPIC SURGEON,12,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1756,Dr. Lt. Col. Nasima Akhter,"['MBBS', 'FCPS']",GENERAL SURGEON,10,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1756,Dr. Lt. Col. Nasima Akhter,"['MBBS', 'FCPS']",COLORECTAL & LAPAROSCOPIC SURGEON,10,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1757,Dr. Pradip Kumar Nath,"['MBBS', 'BCS', 'FCPS', 'FACS (USA)', 'FMAS (INDIA)', 'DM', 'FMAS (INDIA)']",GENERAL SURGEON,9,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1758,Asst. Prof. Dr. Dr. Rashedul Hasan,"['MBBS', 'FACS', 'FCPS']",GENERAL SURGEON,20,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1759,Asst. Prof. Dr. Md. Ahsanul Abedin,"['MBBS', 'MCPS', 'FCPS']",GENERAL SURGEON,20,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1760,Dr. ATM Mohiuddin Chowdhury,"['MBBS', 'CCD', 'MMED', 'MD']",GASTROENTEROLOGIST,19,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1761,Asst. Prof. Dr. Dr. Syed Md. Tipu Sultan,"['MBBS', 'DLO', 'MCPS', 'MS']",OTOLARYNGOLOGISTS (ENT),21,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1762,Dr. Major (Retd) Md. Rezaul Karim,"['MBBS', 'MS', 'PHD']",OTOLARYNGOLOGISTS (ENT),20,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1763,Prof. Dr. Md. Mahbubul Alam Chowdhury,"['MBBS', 'MCPS', 'DLO']",OTOLARYNGOLOGISTS (ENT),25,Apollo Imperial Hospitals,Chittagong,,,,,,,,,,,,,,,,,,,,,
1764,Prof. Dr. Md. Shahidullah Sikder,"['MBBS', 'MD', 'FRCP']",DERMATOLOGIST,27,Lab Science Diagnostics,Dhaka,,,,,,,,,,,,,,,,,,,,,
1765,Dr. Mohammed Fazle Rabbi,"['MBBS', 'BCS', 'MD', 'CCD']",PULMONOLOGIST,15,Lab Science Diagnostics,Dhaka,,,,,,,,,,,,,,,,,,,,,
